dna_library_id	ploidy	depth1	depth2	depth3	depth4	numOverlaps	meanOverlapSize	meanFragSize	numReads	sampleSize	nr_bins
VZA02704D_B11	2	0.004986250643769751	6.7818928684732045e-6	0	0	248.55	66.23289039555883	129.26393604563683	152859	93881.9470553297	242711
VZA02704D_B11	3	0.004976005365526492	8.971830985915493e-6	2.6156941649899398e-8	0	19.4	70.0859835177112	128.74535549657773	14318	5790.500147555355	14910
VZA02704D_B12	1	0.0049932347140039446	0	0	0	0	0	140.16360294117646	544	542.5802305604008	1521
VZA02704D_B12	2	0.004985344895781402	6.903539600594946e-6	0	0	221.2	75.74632554603086	137.58495060603937	171276	88204.05099936346	242711
VZA02704D_B12	3	0.0049850117370892014	9.689805499664655e-6	2.2468142186452048e-8	0	18.7	76.89974220647122	136.87176426237747	15916	5446.704103053042	14910
VZA02704D_B13	1	0.005010565417488494	0	0	0	0	0	152.05722460658083	699	500.1406555772994	1521
VZA02704D_B13	2	0.004985858016323941	6.699572742891752e-6	0	0	201.6	80.68232047305627	155.43464714056046	210863	78074.93517854968	242711
VZA02704D_B13	3	0.004984175385647217	8.080482897384307e-6	0	0	15.2	78.25279766311559	154.67564240652408	19497	4819.763399079024	14910
VZA02704D_B15	1	0.0049768145956607494	3.6324786324786324e-6	0	0	0.25	55.25	177.2206572769953	852	429.126046413055	1521
VZA02704D_B15	2	0.004984435666286241	7.06109323434043e-6	1.7716543543555918e-9	0	193.7	88.47450025759439	165.47171425277352	268881	73339.12055483882	242711
VZA02704D_B15	3	0.004975211602951039	9.247820254862508e-6	1.9114688128772635e-8	0	15.9	87.69666990001743	163.68038311457963	25371	4554.6081076688015	14910
VZA02704D_B17	1	0.00498680473372781	8.941485864562789e-7	0	0	0.4	13.6	154.33830275229357	872	492.74871269031007	1521
VZA02704D_B17	2	0.004984535950162951	6.709193238048544e-6	5.85057949577893e-9	0	201.35	81.01255843000911	152.78713923092025	285224	79427.82397187571	242711
VZA02704D_B17	3	0.004982274647887324	9.119382964453388e-6	0	0	17.15	79.70741959511078	153.26893268379098	27096	4863.999422101024	14910
VZA02704D_B18	2	0.004986202551721707	6.4822581718926835e-6	8.615389435182901e-10	0	219.25	75.48697168074212	140.99613856102565	301701	90554.60759639063	255357
VZA02704D_B18	3	0.004990058635394456	7.96908315565032e-6	0	0	2.95	65.55714285714286	143.45054509415263	5045	980.825830307251	2814
VZA02704D_B19	2	0.004987325440544516	6.8670146800103825e-6	0	0	202.9	82.15313179917555	150.3807207022377	136478	80698.84186836072	242711
VZA02704D_B19	3	0.004984770623742455	1.0489939637826962e-5	3.018108651911469e-8	0	18.55	84.96964833567407	148.89157657307302	12857	5006.999167841596	14910
VZA02704D_B20	1	0.00501853057199211	0	0	0	0	0	164.54196157735086	989	462.19213184868374	1521
VZA02704D_B20	2	0.0049846957694967605	6.852536986673342e-6	1.5274106570835792e-9	0	191	84.42978852210081	162.9640382238314	285581	72314.42058286357	235693
VZA02704D_B20	3	0.0049797977471725645	8.921926304268515e-6	0	0	21.95	88.22751053588273	163.11570105003088	40475	6721.609219358424	21928
VZA02704D_B21	1	0.004985887573964497	0	0	0	0	0	169.15402298850574	870	449.5902530510179	1521
VZA02704D_B21	2	0.004990738429655021	6.885452245674897e-6	0	0	191.35	87.21551380064179	162.91783377186664	263758	74488.77583895066	242711
VZA02704D_B21	3	0.004991385311871228	8.91515761234071e-6	0	0	16.15	82.23518894594397	162.04471771939632	25046	4600.581928816342	14910
VZA02704D_B22	1	0.004958353673127542	3.6683417085427137e-6	0	0	2.1	62.85	163.83865615927002	4822	1275.3400503778337	4179
VZA02704D_B22	2	0.004987829400879938	7.22122730665989e-6	1.1316888768881335e-9	0	207.95	87.47083954205884	158.5967842395944	459176	79395.0524304288	251836
VZA02704D_B22	3	0.004964648225135913	9.597057882954909e-6	0	0	3.7	75.56	159.27405380756954	8772	981.6413675820526	3127
VZA02704D_B23	2	0.004979028775729137	1.0104112803019194e-5	1.4316475137183476e-8	0	455.2	57.60310666801428	110.52410756890241	287109	117233.24698118324	259142
VZA02704D_B24	2	0.004988656335136721	6.819446481079871e-6	0	0	196.4	89.9744032181847	163.9022253612581	351134	79053.83817358893	259142
VZA02704D_C01	2	0.004986534313233672	6.50101102870241e-6	0	0	255	66.02966155894272	126.20792106868309	214769	102664.71304086113	259142
VZA02704D_C02	2	0.004986418838571939	7.11195139850946e-6	0	0	216.05	83.81957553685825	161.87020688908146	110784	78707.19538111227	254807
VZA02704D_C02	3	0.004973283582089552	8.107675906183369e-6	0	0	3.6	62.60845238095238	160.23435075012932	1933	878.0888700913367	2814
VZA02704D_C03	2	0.004983516507278543	7.75289264965076e-6	0	0	253.75	74.8748595277915	137.56097670694294	111149	89089.2191475801	245104
VZA02704D_C03	3	0.0049752258179231864	9.160739687055476e-6	0	0	6.2	81.34410173160173	137.7672266861456	4107	2041.1240522436863	5624
VZA02704D_C04	1	0.004999303090072321	1.5779092702169625e-6	0	0	0.3	24	162.1899383983573	974	468.89468453469897	1521
VZA02704D_C04	2	0.004988335201123971	6.961159568375558e-6	0	0	197.35	85.61070234847467	159.89664839985252	314596	75896.21246877364	242711
VZA02704D_C04	3	0.004985773306505701	9.025821596244132e-6	0	0	15.9	85.74855474590768	159.3595104022659	29657	4678.101721812267	14910
VZA02704D_C05	2	0.004984747628713215	6.639911708638507e-6	0	0	194.45	88.54689395828635	167.70281166011992	135436	77262.27051136094	259142
VZA02704D_C06	1	0.004983449607796529	5.649512716900404e-6	0	0	5.1	90.90134920634921	159.0824203187251	8032	2644.5411074153785	8414
VZA02704D_C06	2	0.004987741162934918	7.098190971995561e-6	0	0	201.4	86.45471045215288	161.97078334811079	374444	75663.02852077268	245104
VZA02704D_C06	3	0.004982244843527738	9.054054054054054e-6	1.511379800853485e-8	0	5.9	88.00698412698412	158.77703206562268	13410	1771.0370092053352	5624
VZA02704D_C07	2	0.00498467259263261	7.100064829321376e-6	0	0	210	87.67011960725121	166.88517619540917	396747	77640.80846119174	259142
VZA02704D_C08	1	0.004983708699786071	4.60423104349893e-6	0	0	4.6	81.46448412698413	152.01757383451306	8194	2767.44319349535	8414
VZA02704D_C08	2	0.004981817534597558	7.22307673477381e-6	0	0	208.9	84.7198850833978	155.34292791444062	404117	78891.26440792906	245104
VZA02704D_C08	3	0.004978447724039829	9.371443812233285e-6	0	0	7	78.01585317460318	151.30313414721212	14007	1858.5206551399208	5624
VZA02704D_C09	2	0.0049842422108342145	7.261848716147904e-6	0	0	236.25	79.67480803642523	151.3316174987305	143759	85620.57430007114	259142
VZA02704D_C10	1	0.005004112426035503	0	0	0	0	0	163.56143667296786	529	464.96290046692246	1521
